entry_id,meeting_date,body,topic,topic_pass2,topic_other_label,attempt_type,attempt_type_pass2,deliberation,deliberation_pass2,importance,what_was_tried,outcome,evidence_quote,minutes_section,confidence,pass2_notes,quote_verified
select_board_2025-12-10_seq-005,2025-12-10,select_board,override_prop25,budget_override_tax_levy,,proposal,discussion,discussed,discussed,4,"Board discussed that significant cuts would likely be needed to close budget gap, with non-essential services and staff reductions identified as potential areas for savings.",Direction given to Town Administrator and CFO to work with all departments on fiscally prudent decisions for a balanced budget.,"Significant cuts would likely be needed, with non-essential services and staff reductions being potential areas for savings. Before considering an override request, the Town will need to explore ways to address the budget gap through departmental reviews and cost control measures with the Town Administrator and CFO working with all departments to make fiscally prudent decisions for a balanced budget.",Finance: Budget and Revenue Forecast,medium,"Substantive discussion of $7M-$15M deficit, override scenario planning, and contingent budget preparation—a significant fiscal moment.",1
select_board_2025-10-22_seq-001,2025-10-22,select_board,other_candidate,housing,,study,report,discussed,discussed,4,"Town Administrator reported on the cumulative loss of grant funding due to MBTA 3A non-compliance, including seven FY26 Community One Stop and CZM grant applications deemed ineligible, resulting in $2,816,493 in lost funding for FY26 and cumulative losses of $3,601,493 across nine grants. The Town stated it will continue to prioritize compliance with state housing and zoning mandates and pursue reapplication in upcoming fiscal years.",Informational report; Town committed to pursuing compliance and reapplication in future cycles.,"This resulted in a total loss of $2,816,493 in potential funding for FY26, bringing the cumulative impact of MBTA 3A-related funding losses to nine grants totaling $3,601,493.",Town Administrator Update: FY26 Community One Stop and Coastal Zone Management (CZM) Grant Loss Summary,high,Substantive report quantifying $3.6M cumulative grant losses from MBTA 3A non-compliance; directly relevant to housing/zoning policy tradeoffs.,1
select_board_2025-10-22_seq-002,2025-10-22,select_board,structural_deficit_reserves,structural_deficit_reserves,,study,study,discussed,discussed,3,"CFO Aleesha Nunley Benjamin and Finance Committee Chair Alec Goolsby presented the FY27 Town of Marblehead Financial Forecast to the Board, followed by Board questions and comments.",Forecast presented and discussed; no vote taken.,"Aleesha Nunley Benjamin, CFO, and Alec Goolsby (remote attendance), Chair, Finance Committee, presented the Town of Marblehead Financial Forecast (see attached) to the Board. A discussion followed with questions and comments from the Board.",FY27 Financial Forecast,high,"FY27 financial forecast presentation by CFO and FinCom chair is a key structural-deficit planning moment, though no vote taken.",1
select_board_2025-10-09_seq-001,2025-10-09,select_board,solid_waste,solid_waste,,vote,vote,discussed,discussed,3,"Award of a $1,590,000 construction contract to DeIulis Brothers Construction Co. for the Transfer Station Redesign Project, relocating the scale to a permanent pit, adding a concrete pad and wing walls for the trash trailer, and creating a separate resident lane from commercial traffic; Board and Public Health Director also discussed the current trash contract expiring July 2026.",Motion to award contract 2025-018 approved unanimously.,"Motion made and seconded to award contract 2025-018, Transfer Station Redesign Construction Project between the Town and DeIulis Brothers Construction Co., Inc. in the amount of One Million Five Hundred and Ninety thousand dollars and 00/100 ($1,590,000) and authorize the Chair to sign on behalf of the Board.",Contract: 2025-018 Transfer Station Redesign Construction Project,high,"Substantive capital investment in solid waste infrastructure with named contractor, scope, and unanimous vote; policy-adjacent given upcoming trash contract expiration.",1
select_board_2025-09-24_001,2025-09-24,select_board,pensions_opeb,pensions_opeb,,proposal,proposal,discussed,discussed,3,"Auditors from Roselli, Clark & Associates presented the 2024 Annual Comprehensive Financial Report and recommended targeting additional funding for OPEB in the future, while noting the Town's long-term pension and OPEB liabilities and the use of excess appropriation for capital projects and OPEB funding.",Presentation received and discussed; no vote taken on the OPEB funding recommendation.,"Also addressed were the town's long-term obligations, including pension and OPEB liabilities, with the recommendation of targeting additional funding for OPEB in the future.",2024 Marblehead Annual Comprehensive Financial Report,high,"Auditor recommendation to target additional OPEB funding is policy-adjacent on a systemic liability, but no vote or concrete proposal taken.",1
select_board_2025-09-24_006,2025-09-24,select_board,governance_organizational,governance_organizational,,study,study,discussed,discussed,3,"Town Charter Committee provided update on the charter review process, with a final draft to be submitted to the Select Board by January 2026 for town meeting approval and potential implementation by 2028.",Update received; committee continuing to seek feedback. No vote taken.,"The committee aims to submit a final draft to the Select Board by January 2026 for town meeting approval, with potential implementation by 2028.",Town Charter Committee Update,high,"Charter review is a systemic governance effort with concrete timeline; update-only, no vote.",1
select_board_2025-07-23_seq-001,2025-07-23,select_board,regionalization_shared,regionalization_shared,,vote,vote,discussed,discussed,4,"Approved a joint ambulance service contract between Marblehead, Swampscott, and Beauport Ambulance Services, Inc., providing one fully staffed ALS ambulance and additional BLS coverage with shared provisions for response times, performance oversight, and a 6-month opt-out notification period. Contract includes potential cost savings from a zero bid and supplier-handled medical supply replacements.",Motion approved unanimously; contract begins August 15.,"This is a joint contract, approved by Swampscott the night before, which will provide enhanced competitiveness and include provisions for response times, performance oversight, and a 6-month notification period for municipalities to opt out. Beauport, which has experience serving multiple towns, will provide one fully staffed ALS ambulance and additional BLS coverage, with new co-branded vehicles.",Ambulance Contract,high,Substantive multi-town shared-services contract approved unanimously; clear regionalization action with cost savings and opt-out terms.,
select_board_2025-07-18_seq-001,2025-07-18,select_board,governance_organizational,governance_organizational,,proposal,proposal,discussed,discussed,3,"Restructuring of the Finance Department, adding an Assistant Town Accountant position and splitting the assistant Treasurer/Collector role into two specialized assistant positions, to address lack of succession planning and operational redundancy.","Discussed and supported at retreat as a major achievement; presented as part of organizational design, no formal vote recorded.","A major achievement highlighted during the retreat was the restructuring of the Finance Department to address longstanding issues, such as a lack of succession planning and operational redundancy. The new organizational design adds an Assistant Town Accountant position and proposes splitting the assistant Treasurer/Collector role into two specialized assistant positions, enabling internal advancement and long-term stability.",Select Board 2025 Retreat: Finance Department Restructuring,high,Structural reorganization of Finance Department with new positions addresses systemic succession/redundancy risk; discussed at retreat without formal vote.,1
select_board_2025-07-18_seq-003,2025-07-18,select_board,structural_deficit_reserves,structural_deficit_reserves,,proposal,proposal,discussed,discussed,4,"Town Administrator confirmed both a level-funded budget and a Proposition 2½ override budget will be developed for FY27, with department heads submitting needs-based requests to inform decisions about what can be funded within existing revenues versus what may require additional voter support.",Confirmed as budget strategy approach for FY27.,"On budget strategy, the Town Administrator confirmed that both a level-funded and a Proposition 2½ override budget will be developed for FY27, reflecting a disciplined approach to budgeting under uncertain fiscal conditions.",Select Board 2025 Retreat: Budget Strategy,high,Explicit commitment to develop dual FY27 budgets including override scenario—substantive signal on structural deficit strategy.,1
select_board_2025-07-18_seq-004,2025-07-18,select_board,override_prop25,override_prop25,,proposal,proposal,discussed,discussed,3,"Development of a Proposition 2½ override budget for FY27 alongside a level-funded budget, to identify what services may require additional voter support.",Confirmed as part of the FY27 budget development approach.,"On budget strategy, the Town Administrator confirmed that both a level-funded and a Proposition 2½ override budget will be developed for FY27, reflecting a disciplined approach to budgeting under uncertain fiscal conditions.",Select Board 2025 Retreat: Budget Strategy,high,Early signal of FY27 override budget development; policy-adjacent planning decision but not yet a vote or proposal to voters.,1
select_board_2025-07-18_seq-005,2025-07-18,select_board,revenue_diversification,revenue_diversification,grant_funding_at_risk,proposal,proposal,discussed,discussed,3,"Tracking and publicly sharing a list of grants and expenditures at risk due to potential MBTA 3A zoning non-compliance, to enable transparency and contingency planning.",Staff committed to tracking and sharing the at-risk list.,The Board expressed concern that grants already awarded or in process could be revoked as a result of MBTA Zoning non-compliance. Staff has committed to tracking and publicly sharing a list of at-risk grants and expenditures to ensure transparency and enable contingency planning.,Select Board 2025 Retreat: MBTA 3A Zoning Compliance Risk,medium,Policy-adjacent transparency commitment on a systemic fiscal risk (MBTA 3A grant loss); no formal vote but named staff commitment.,1
select_board_2025-06-25_seq-001,2025-06-25,select_board,other_candidate,housing,,vote,vote,discussed,discussed,3,"Merged the Fair Housing Committee and the Housing Production Plan Implementation Committee into a single Marblehead Housing Committee, with a defined membership structure including department heads, representatives from related boards, at-large members with staggered terms, and alternates.",Approved unanimously on roll call vote.,"After review and discussion, a motion was made to merge the Fair Housing Committee and Housing Production Plan Implementation Committee and establish it as the Marblehead Housing Committee, with the following members:",Housing Committees. Merger.,high,Structural consolidation of two housing committees into one Marblehead Housing Committee; systemic governance action on housing.,1
select_board_2025-06-25_seq-002,2025-06-25,select_board,staffing_fte_bargaining,staffing_fte_bargaining,,study,study,discussed,reported,3,"Launched a comprehensive classification and compensation study, led by consultant Katie Yee from MGT, to review job descriptions, align positions, and analyze market data to determine appropriate compensation levels relative to comparable communities.",Study underway; reported as Town Administrator update.,Marblehead has launched a comprehensive classification and compensation study aimed at modernizing its employee classification system and ensuring the Town's salary structure remains competitive with comparable and neighboring communities.,Town Administrator Update — Salary Survey and Classification Study Launch,medium,"Town-wide classification/compensation study launched with named consultant; systemic staffing/pay action reported as update, not voted.",1
select_board_2025-05-14_seq-001,2025-05-14,select_board,revenue_diversification,revenue_diversification,,vote,vote,discussed,discussed,4,Adopted Home Rule Petition from Town Meeting Article 28 to establish a Means-Tested Senior Citizen Property Tax Exemption and submit it to the General Court.,Approved unanimously on polled vote (5-0).,"Motion that the Board adopt the Home Rule Petition as approved at May 7, 2025, Town Meeting, Article 28: Establish Means-Tested Senior Citizen Property Tax Exemption, and submit same to the General Court.",Home Rule Petition. Article 28. Means Tested Senior Citizen Property Tax Exemption,high,"Board formally adopted Home Rule Petition for means-tested senior property tax exemption post-Town Meeting; substantive policy action on tax relief, 5-0 vote.",1
select_board_2025-05-14_seq-003,2025-05-14,select_board,governance_organizational,governance_organizational,,working_group,working_group,discussed,discussed,3,"Received Town Charter Committee update; committee is drafting charter language (Draft A) with Collins Center and Town Counsel, planning three public forums in May, and aiming to present to Select Board and then Town Meeting May 2026.","Update received; public forums scheduled for May 27, 29, and 30; drafting to continue for 10 months.","The committee has been reviewing draft A of the charter language. The committee plans to continue fine-tuning the draft over the next 10 months, with the aim of presenting it to the Select Board for review. The Charter will then be presented to Town Meeting in May 2026 for review by the voters.",Town Charter Committee. Update,high,"Charter Committee update on drafting process and public forums; systemic governance reform, informational update rather than vote.",1
select_board_2025-05-06_seq-001,2025-05-06,select_board,capital_facilities_debt,capital_facilities_debt,,vote,vote,discussed,discussed,4,"Select Board voted to place Question 1 on the June 10, 2025 Annual Town Election ballot seeking voter approval of a debt exclusion from Proposition 2½ for bonds to pay costs of design, construction, repair, renovation, furnishing, and equipping of the Mary A. Alley Building, including windows, elevators, HVAC systems, and a new roof.","Motion passed, all in favor; question to be placed on June 10, 2025 ballot.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of design, construction, repair, renovation, furnishing, and equipping of the Mary A. Alley Building, including windows, elevators and HVAC systems and acquiring and installing a new roof, including the payment of all other costs incidental and related thereto?",2025 Annual Town Election Warrant - Question 1 (Mary A. Alley Building debt exclusion),high,Debt exclusion ballot question for major municipal building capital project is a substantive policy action placed before voters.,1
select_board_2025-05-06_seq-002,2025-05-06,select_board,capital_facilities_debt,capital_facilities_debt,,vote,vote,discussed,discussed,4,"Select Board voted to place Question 2 on the June 10, 2025 Annual Town Election ballot seeking voter approval of a debt exclusion from Proposition 2½ for bonds to pay additional costs of a new roof at the Town's High School, including the acquisition and installation of new rooftop HVAC units.","Motion passed, all in favor; question to be placed on June 10, 2025 ballot.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay additional costs of a new roof at the Town's High School, including the acquisition and installation of new rooftop HVAC units, including the payment of all costs incidental and related thereto?",2025 Annual Town Election Warrant - Question 2 (High School roof/HVAC debt exclusion),high,Board voted to place debt exclusion override on ballot for HS roof/HVAC — meaningful fiscal action putting override to voters.,
select_board_2025-05-05_seq-001,2025-05-05,select_board,staffing_fte_bargaining,staffing_fte_bargaining,,vote,vote,discussed,discussed,3,"Approved Memorandum of Understanding with Marblehead IUE/CWA Local 1776 for July 1, 2024 - June 30, 2027, with COLA increases of 2% (FY25), 3% (FY26), and 3% (FY27), subject to Town Meeting approval.",Approved unanimously.,"Motion made and seconded to approve the Memorandum of Understanding between the Town and the Marblehead IUE/CWA, Local 1776, for the period July 1, 2024 - June 30, 2027, as presented, and prepared by Town Counsel and to approve the following salary increases subject to Town Meeting approval:","MARBLEHEAD IUE/CWA, LOCAL 1776",high,Multi-year collective bargaining MOU with specified COLA schedule; policy-adjacent systemic personnel cost commitment.,1
select_board_2025-05-05_seq-004,2025-05-05,select_board,staffing_fte_bargaining,staffing_fte_bargaining,,vote,vote,discussed,discussed,3,"Approved Memorandum of Agreement with Marblehead Police Union for July 1, 2025 - June 30, 2028, with COLA + POST Compliance increases of 2.5%+1.0% (FY26), 2%+1.5% (FY27), and 2%+1.5% (FY28), subject to Town Meeting approval.",Approved 4-0; Mr. Murray recused.,"Motion made and seconded to approve the Memorandum of Agreement between the Town of Marblehead and the Marblehead Police Union, MASS C.O.P., AFL-CIO, Local 437, for the period July 1, 2025 – June 30, 2028, as presented and prepared by Town Counsel, and approve the following salary increases subject to Town Meeting approval:","MASS C.O.P., AFL-CIO, Local 437. Police (FY26-FY28)",high,Multi-year police contract with POST compliance raises; substantive collective bargaining outcome requiring TM approval.,1
select_board_2025-05-05_seq-008,2025-05-05,select_board,capital_facilities_debt,capital_facilities_debt,,warrant_article,warrant_article,discussed,discussed,4,"Supported Article 31 to change use of Coffin School building and grounds from school to general municipal purposes, transfer care/custody/control to Select Board, and authorize sale, with reuse process facilitated by a Coffin School Reuse Committee modeled on the Gerry School process.",Approved unanimously.,"motion made and seconded that the Town change the use of the Coffin School building and grounds from school purposes to general municipal purposes, and to transfer the care, custody, and control of same to the Select Board for further reuse, and if appropriate as determined by the Select Board, taking into consideration any recommendations by a Coffin School Reuse committee to be established by the Select Board, and to further authorize the Select Board to sell the Coffin School building and land in a manner that they determine to be the most beneficial. All in favor.",2025 TOWN MEETING ARTICLES / Article 31. Gerry School Reuse,high,Substantive decision to repurpose and authorize sale of Coffin School with public reuse committee process; meaningful systemic action on municipal property.,1
select_board_2025-04-23_seq-002,2024-04-23,select_board,capital_facilities_debt,capital_facilities_debt,,warrant_article,warrant_article,discussed,voted,3,"Presented and supported Article 33 for Mary A. Alley Building comprehensive upgrades ($5,750,000) including HVAC, roof replacement, ADA, sprinkler/fire alarm, safety, environmental, and elevator upgrades.",Board voted to support Article 33 on the 2025 Annual Town Warrant; Capital Planning Committee to review before Town Meeting.,"Logan Casey, Sustainability Coordinator and Sean Moriarty, Senior Project Manager and Daniel Wall, Principal, NV5 Andover, appeared before the Board to present a proposed comprehensive plan for upgrades to the Mary A. Alley Building which include installation of an HVAC System, roof replacement, ADA upgrades, sprinkler fire alarm installation, safety upgrades and environmental concerns and updating the elevator system.","Article 33. Mary A. Alley Building, HVAC System",high,Named $5.75M capital project with Board vote to support Article 33; meaningful policy-adjacent action on municipal facilities.,1
select_board_2025-04-23_seq-005,2024-04-23,select_board,revenue_diversification,revenue_diversification,,warrant_article,warrant_article,discussed,voted,3,Supported Article 28 Home Rule Petition to establish a Means Tested Senior Citizen Property Tax Exemption.,Approved as part of omnibus motion to support Select Board warrant articles.,Article 28 Home Rule Petition: Establish Means Tested Senior Citizen Property Tax Exemption,2025 Annual Town Meeting - Select Board Articles,medium,Select Board voted to support Home Rule Petition for means-tested senior property tax exemption as part of omnibus motion; policy-adjacent targeted tax relief.,1
select_board_2024-12-11_seq-001,2024-12-11,select_board,structural_deficit_reserves,structural_deficit_reserves,,study,study,discussed,discussed,4,"CFO and Town Administrator presented FY2026 Financial Forecast identifying salaries, insurance benefits, pensions, utilities, and trash fees as largest cost drivers, and announced engagement of an independent specialist to perform override analysis, forecasting, and restructuring scenario review, producing a written report to guide financial decisions.",Forecast presented and discussed; independent specialist being engaged by CFO and Town Administrator to deliver written report.,"The CFO and Town Administrator are brining on an independent specialist that advises towns in Massachusetts on both override analysis and forecasting analysis, as well as restructuring scenarios and assisting with audits. A written report will be provided to the Town that can then be used to determine the best financial solutions for the Town.",Financial Forecast,high,Town engaging independent specialist for override analysis and restructuring scenarios is a substantive study action on structural deficit.,1
select_board_2024-12-11_seq-002,2024-12-11,select_board,structural_deficit_reserves,budget_process,,proposal,discussion,discussed,discussed,3,"Finance Committee Chair discussed three-year financial projections highlighting salary increases and the need for a budget reserve, particularly for health insurance and utilities.",Discussion only; flagged as forecasting concern with need for reserve flexibility.,"He noted that the largest expense line is salaries, which are expected to increase significantly and the need for a reserve in the budget, particularly for health insurance and utilities.",Financial Forecast,medium,FY26 forecast discussion flagging health insurance/utilities reserve need and hiring of override/forecasting specialist; policy-adjacent systemic framing but no vote.,1
select_board_2024-12-11_seq-003,2024-12-11,select_board,special_ed_collaborative,special_ed_collaborative,,proposal,discussion,discussed,discussed,3,Finance Committee Chair flagged challenges of budgeting for out-of-district tuition and transportation costs; Assistant Superintendent described use of circuit breaker reimbursement for unanticipated or unbudgeted expenses.,Discussion only; identified as area of budgetary uncertainty requiring flexibility.,"He highlighted the challenges of budgeting for out-of-district tuition and transportation costs, which are expected to increase, and expressed the need for flexibility in the budget due to uncertainties in various line items.",Financial Forecast,high,"FinCom chair flagged out-of-district SPED tuition/transport as a systemic budget pressure during FY26 forecast; discussion only, no vote.",1
select_board_2024-12-11_seq-004,2024-12-11,select_board,solid_waste,solid_waste,,proposal,proposal,discussed,discussed,3,"Public Health Director reported on upcoming FY27 trash contract expiration, having benchmarked curbside rates against 6 comparable Massachusetts communities, and suggested securing another 10-year contract to obtain better rates and projections given rising labor, equipment, and fuel costs.",Discussion only; no vote. Contract approach signaled for future procurement.,"Andrew Petty, Public Health Director, spoke regarding the Trash contract that will expire in FY27. Mr. Petty has reviewed contracts across the State and chose 6 comparable communities to look at their curbside rates. Labor, equipment and fuel are all driving the costs way up. Securing a 10-year contract again may be a way to get better rates and allow for better projections.",Financial Forecast,high,"Named procurement strategy with benchmarking; policy-adjacent signal for FY27 contract approach, no vote yet.",1
select_board_2024-12-11_seq-005,2024-12-11,select_board,revenue_diversification,revenue_diversification,,vote,vote,discussed,discussed,3,"Board approved final allocation of $584,142 in ARPA Revenue Loss Funds, with 54% directed to the Schools and 46% to the Town.",Motion approved unanimously.,"Of the $584,142.00 calculated Revenue Loss Funds, 54% was allocated to the Schools and 46% to the Town. Motion made and seconded to approve the ARPA Revenue Loss Funding, as presented. All in favor.",American Rescue Plan Act. Year End Update.,high,One-time ARPA Revenue Loss allocation vote; modest policy content (school/town split) but largely administrative closeout.,1
select_board_2024-11-13_seq-001,2024-11-13,select_board,staffing_fte_bargaining,staffing_fte_bargaining,,proposal,statement,discussed,adopted,3,"Town Administrator briefed the Board on the status of collective bargaining and mandatory mediation with the Marblehead Education Association following the teacher strike, and the Board adopted a formal Select Board Statement on the teacher strike and contract negotiations.",Statement approved unanimously; negotiations remain in state-mandated mediation.,"The Chair presented a draft Statement of the Board, attached, regarding the teacher strike and contract negotiations and asked if the Board had any comments or any changes. The Board did not. The Chair read the statement. Motion made and seconded to approve the Select Board Statement as presented. All in favor.",Select Board Statement: Teacher Strike/Contract Negotiations,high,Formal Board statement on active teacher strike/contract mediation; policy-adjacent but symbolic rather than substantive action.,1
select_board_2024-11-13_seq-004,2024-11-13,select_board,structural_deficit_reserves,structural_deficit_reserves,,proposal,proposal,discussed,discussed,3,"Finance Committee Chair and CFO presented a preliminary financial forecast and budget calendar, stressing the need for a detailed budget and a 3-year projection on both the town and school side to present to taxpayers. Preliminary revenue and expense forecast scheduled for December 11, 2024.","Informational; Board thanked Finance Committee and CFO; further forecast presentation scheduled for December 11, 2024.","Alec presented a preliminary financial forecast to the Board stating that they will have better numbers in January and stressed the need to have a detailed budget and a 3-year projection, both town and school side, to present to taxpayers.",Financial Planning Update,high,"Preliminary forecast and budget calendar presentation; policy-adjacent planning for structural deficit discussion, no vote yet.",1
select_board_2024-11-13_seq-006,2024-11-13,select_board,other_candidate,climate_coastal_resilience,,vote,vote,discussed,discussed,3,"Approved three contracts (Salem Sound Coastwatch $33,000; Collins Engineers $103,728.40; Woods Hole Group $86,157) for the State Street Landing and Harbormaster's Tucker's Wharf Resilience Project covering project management, site surveys, flood risk modeling, and resilient design alternatives.",All three contracts approved unanimously.,"Alex Eitler, Town Planner, appeared before the Board to review three contracts related to the Tucker's Wharf Resilience Project. After discussion, motion made and seconded to approve the following contracts with the Town as follows: Salem Sound Coastwatch, project management and stakeholder engagement support - award contract between the Town and Salem Sound Coastwatch to support the Town in project management and stakeholder engagement for the State Street Landing and Harbormaster's - Tucker's Wharf Resilience Project in the amount of Thirty-three thousand dollars ($33,000)",Contracts: State Street Landing and Harbormasters (Tucker's Wharf Resilience Project),medium,Named coastal resilience project with three contracts totaling ~$223K for flood risk modeling and resilient design; policy-adjacent climate adaptation action.,1
