entry_id,meeting_date,body,topic,topic_other_label,attempt_type,deliberation,what_was_tried,outcome,evidence_quote,minutes_section,confidence
select_board_2025-12-10_seq-001,2025-12-10,select_board,structural_deficit_reserves,,proposal,discussed,"Finance Committee and CFO presented FY27 revenue forecast showing approximately $700,000 revenue decrease and lower free cash estimate; Board discussed town policy of reducing reliance on free cash for the operating budget and potential impacts on capital spending and stabilization funds.",Discussed; no vote taken. Finance Committee plans to review budget again after State of the Town Address on January 28th.,"The revenue forecast for fiscal year 2027 was discussed, showing a decrease to revenue of approximately $700,000 compared to the previous year. The free cash estimate for the current year was projected to be lower than the previous year's certified amount, with potential impacts on capital spending and stabilization funds. The discussion also touched on the town's policy of reducing reliance on free cash for the operating budget, though with some flexibility depending on future revenue projections.",Finance: Budget and Revenue Forecast,high
select_board_2025-12-10_seq-002,2025-12-10,select_board,override_prop25,,proposal,discussed,"Board agreed to prepare both a state-required balanced budget and a contingent budget option for voters, in light of projected $7 million deficit next year growing to $15 million over three years, and discussed determining mandatory versus desirable costs when building an override scenario.",Agreement to develop dual budget scenarios; departmental reviews and cost control measures to be explored before considering an override request.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation. The Board agreed to work on preparing both a state-required balanced budget and a contingent budget option for voters to consider, and the need to communicate the situation clearly to residents. The discussion touched on the need to determine which costs are mandatory versus desirable when building an override scenario.",Finance: Budget and Revenue Forecast,high
select_board_2025-12-10_seq-003,2025-12-10,select_board,healthcare_gic,,proposal,discussed,Board acknowledged double-digit increases in healthcare costs as a key driver of the projected multi-year structural deficit in discussion of FY27 budget challenges.,Identified as a cost driver in budget deliberations; no specific mitigation action taken.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation.",Finance: Budget and Revenue Forecast,medium
select_board_2025-12-10_seq-004,2025-12-10,select_board,pensions_opeb,,proposal,discussed,Board acknowledged double-digit increases in pensions as a key driver of the projected multi-year structural deficit in discussion of FY27 budget challenges.,Identified as a cost driver in budget deliberations; no specific mitigation action taken.,"The Select Board and Finance Committee discussed the town's budget challenges, with projections showing a $7 million deficit next year that could grow to $15 million over three years due to factors like double-digit increases in healthcare and pensions, along with inflation.",Finance: Budget and Revenue Forecast,medium
select_board_2025-12-10_seq-005,2025-12-10,select_board,staffing_fte_bargaining,,proposal,discussed,"Board discussed that significant cuts would likely be needed to close budget gap, with non-essential services and staff reductions identified as potential areas for savings.",Direction given to Town Administrator and CFO to work with all departments on fiscally prudent decisions for a balanced budget.,"Significant cuts would likely be needed, with non-essential services and staff reductions being potential areas for savings. Before considering an override request, the Town will need to explore ways to address the budget gap through departmental reviews and cost control measures with the Town Administrator and CFO working with all departments to make fiscally prudent decisions for a balanced budget.",Finance: Budget and Revenue Forecast,medium
select_board_2025-12-10_seq-006,2025-12-10,select_board,capital_facilities_debt,,vote,discussed,"Approved contract 26-39 with Woodward & Curran for $135,000 for Phase I of a Stormwater Utility Fee, advancing a potential new dedicated revenue mechanism for stormwater infrastructure.",Approved unanimously.,"Motion made and seconded to approve contract 26-39 for Phase I of the Stormwater Utility Fee between the Town and Woodward & Curran in the amount of One hundred and thirty-five thousand dollars and 00/100 ($135,000) and authorize the Chair to sign the contract on behalf of the Board. All in favor.",Contracts: Contract No. 26-39 Phase I Stormwater Utility Fees,medium
select_board_2025-12-10_seq-007,2025-12-10,select_board,revenue_diversification,,study,discussed,"Funded Phase I study of a Stormwater Utility Fee, which would establish a new dedicated fee-based revenue source for stormwater management.",Contract approved; Phase I study to proceed.,"Amy McHugh, DPW Director, reviewed this contract with the Board. Motion made and seconded to approve contract 26-39 for Phase I of the Stormwater Utility Fee between the Town and Woodward & Curran in the amount of One hundred and thirty-five thousand dollars and 00/100 ($135,000) and authorize the Chair to sign the contract on behalf of the Board. All in favor.",Contracts: Contract No. 26-39 Phase I Stormwater Utility Fees,medium
select_board_2025-10-22_seq-001,2025-10-22,select_board,revenue_diversification,,proposal,discussed,"Town Administrator reported on the cumulative loss of grant funding due to MBTA 3A non-compliance, including seven FY26 Community One Stop and CZM grant applications deemed ineligible, resulting in $2,816,493 in lost funding for FY26 and cumulative losses of $3,601,493 across nine grants. The Town stated it will continue to prioritize compliance with state housing and zoning mandates and pursue reapplication in upcoming fiscal years.",Informational report; Town committed to pursuing compliance and reapplication in future cycles.,"This resulted in a total loss of $2,816,493 in potential funding for FY26, bringing the cumulative impact of MBTA 3A-related funding losses to nine grants totaling $3,601,493.",Town Administrator Update: FY26 Community One Stop and Coastal Zone Management (CZM) Grant Loss Summary,high
select_board_2025-10-22_seq-002,2025-10-22,select_board,structural_deficit_reserves,,study,discussed,"CFO Aleesha Nunley Benjamin and Finance Committee Chair Alec Goolsby presented the FY27 Town of Marblehead Financial Forecast to the Board, followed by Board questions and comments.",Forecast presented and discussed; no vote taken.,"Aleesha Nunley Benjamin, CFO, and Alec Goolsby (remote attendance), Chair, Finance Committee, presented the Town of Marblehead Financial Forecast (see attached) to the Board. A discussion followed with questions and comments from the Board.",FY27 Financial Forecast,high
select_board_2025-10-22_seq-003,2025-10-22,select_board,pensions_opeb,,study,discussed,Parker Elmore of Odyssey Advisors and CFO Aleesha Nunley Benjamin presented the GASB 75 Results (OPEB actuarial report) to the Board.,Report presented to Board; informational.,"Parker Elmore, President, CEO, Odyssey Advisors, and Aleesha Nunley Benjamin, CFO, presented the Governmental Accounting Standards Board (GSAB) 75 Results to the Board.",Other Public Employee Benefits (OPEB) Report,high
select_board_2025-10-22_seq-004,2025-10-22,select_board,staffing_fte_bargaining,,vote,discussed,"The Chair described and the Board acknowledged a settlement agreement between the Town and Officer Gallo resolving the financial components of an arbitration award, representing a full and final resolution of financial matters without admission of wrongdoing.",Settlement agreement finalized; arbitration financial components resolved.,This agreement represents a full and final resolution of all financial matters associated with arbitration award without admission of wrongdoing by either party.,Arbitration. Gallo,medium
select_board_2025-10-22_seq-005,2025-10-22,select_board,governance_organizational,,vote,discussed,"Board voted to approve the Green Marblehead Committee's recommendation to replace the Town Planner position with the Community Development and Planning Director as the designated departmental member, aligning representation with current departmental roles.","Approved; motion passed, all in favor.","After review, motion made and seconded to approve the recommendation of the Green Marblehead Committee by replacing the Town Planner as a member of the Green Marblehead Committee with the Community Development and Planning Director. All in favor.",Green Marblehead Committee,medium
select_board_2025-10-09_seq-001,2025-10-09,select_board,solid_waste,,vote,discussed,"Award of a $1,590,000 construction contract to DeIulis Brothers Construction Co. for the Transfer Station Redesign Project, relocating the scale to a permanent pit, adding a concrete pad and wing walls for the trash trailer, and creating a separate resident lane from commercial traffic; Board and Public Health Director also discussed the current trash contract expiring July 2026.",Motion to award contract 2025-018 approved unanimously.,"Motion made and seconded to award contract 2025-018, Transfer Station Redesign Construction Project between the Town and DeIulis Brothers Construction Co., Inc. in the amount of One Million Five Hundred and Ninety thousand dollars and 00/100 ($1,590,000) and authorize the Chair to sign on behalf of the Board.",Contract: 2025-018 Transfer Station Redesign Construction Project,high
select_board_2025-10-09_seq-002,2025-10-09,select_board,capital_facilities_debt,,vote,discussed,"Authorization for the Building Commissioner to request a $36,000 Reserve Fund Transfer from the Finance Committee to fund installation of 72 windows at Hobbs House before winter, after the original capital request proved insufficient to cover both the porch repair and windows.",Motion approved unanimously; Building Commissioner authorized to appear before Finance Committee for the transfer.,"The original capital request was to repair the porch and install windows but there is not enough capital funds for this project. The Building Department budget can fund the repair of the porch, and a reserve fund transfer would cover the 72 windows needed to be installed before winter.","Reserve Fund Transfer: Building Department, Hobbs House Windows",medium
select_board_2025-09-24_001,2025-09-24,select_board,pensions_opeb,,proposal,discussed,"Auditors from Roselli, Clark & Associates presented the 2024 Annual Comprehensive Financial Report and recommended targeting additional funding for OPEB in the future, while noting the Town's long-term pension and OPEB liabilities and the use of excess appropriation for capital projects and OPEB funding.",Presentation received and discussed; no vote taken on the OPEB funding recommendation.,"Also addressed were the town's long-term obligations, including pension and OPEB liabilities, with the recommendation of targeting additional funding for OPEB in the future.",2024 Marblehead Annual Comprehensive Financial Report,high
select_board_2025-09-24_002,2025-09-24,select_board,structural_deficit_reserves,,proposal,discussed,"Auditors reported on the Town's reserve balance, financial metrics, and identified material weaknesses in cash and bank reconciliation processes that need to be addressed to ensure timely financial statements and maintain the bond rating; the CFO reported procedures have been implemented to address these concerns.",Presentation received; CFO reported corrective procedures have already been implemented. No vote taken.,"Lastly, the report notes material weaknesses in the town's cash and bank reconciliation processes, which needs to be addressed to ensure timely financial statements and maintain the town's bond rating. Aleesha Benjamin, CFO, reported that the town has already implemented procedures that address these concerns.",2024 Marblehead Annual Comprehensive Financial Report,medium
select_board_2025-09-24_003,2025-09-24,select_board,capital_facilities_debt,,proposal,discussed,Town Administrator reported that the Old Town House accessibility lift has reached end-of-life and staff will analyze costs of full replacement and develop options for consideration in the next iteration of the Capital Improvement Plan (CIP).,Reported as upcoming CIP item; no vote taken.,Staff will be analyzing the costs of full replacement and developing options for consideration in the next iteration of the Capital Improvement Plan (CIP).,Town Administrator Update / Elevator Projects,medium
select_board_2025-09-24_004,2025-09-24,select_board,capital_facilities_debt,,vote,routine,"Award of contract 26-04 for the Mary Alley Municipal and Jacobi Community Center Roof Replacement Project to MDM Engineering Company Inc. in the amount of $839,000.",Approved unanimously.,"Motion made and seconded to award contract 26-04, Mary Alley Municipal and Jacobi Community Center Roof Replacement Project between the Town and MDM Engineering Company Inc. in the amount of Eight Hundred Thirty-Nine Thousand Dollars and 00/100 ($839,00.00) and authorize the Chair to sign on behalf of the Board. All in favor.",Contract 26-04 Mary Alley Municipal and Jacobi Community Center Roof Replacement,medium
select_board_2025-09-24_005,2025-09-24,select_board,capital_facilities_debt,,proposal,discussed,"Town Administrator reported the Village Street Bridge Replacement Project advanced to 25% MassDOT design review, with an estimated $4.45 million Total Federal Participating Construction Cost eligible for Federal Aid funding through the Boston Region MPO's Transportation Improvement Program.",Update provided; project continues to advance through MassDOT and MPO funding process. No vote taken.,"MassDOT has determined that the project is eligible for Federal Aid highway funding, with an estimated Total Federal Participating Construction Cost (TFPCC) of $4.45 million. Final funding decisions will be made by the Boston Region Metropolitan Planning Organization (MPO) as part of its Transportation Improvement Program (TIP).",Town Administrator Update / Village Street Bridge Replacement Project,medium
select_board_2025-09-24_006,2025-09-24,select_board,governance_organizational,,study,discussed,"Town Charter Committee provided update on the charter review process, with a final draft to be submitted to the Select Board by January 2026 for town meeting approval and potential implementation by 2028.",Update received; committee continuing to seek feedback. No vote taken.,"The committee aims to submit a final draft to the Select Board by January 2026 for town meeting approval, with potential implementation by 2028.",Town Charter Committee Update,high
select_board_2025-07-23_seq-001,2025-07-23,select_board,regionalization_shared,,vote,discussed,"Approved a joint ambulance service contract between Marblehead, Swampscott, and Beauport Ambulance Services, Inc., providing one fully staffed ALS ambulance and additional BLS coverage with shared provisions for response times, performance oversight, and a 6-month opt-out notification period. Contract includes potential cost savings from a zero bid and supplier-handled medical supply replacements.",Motion approved unanimously; contract begins August 15.,"This is a joint contract, approved by Swampscott the night before, which will provide enhanced competitiveness and include provisions for response times, performance oversight, and a 6-month notification period for municipalities to opt out. Beauport, which has experience serving multiple towns, will provide one fully staffed ALS ambulance and additional BLS coverage, with new co-branded vehicles. There are potential cost savings due to a zero bid and the fact that the new provider would handle replacements for medical supplies, which were previously a cost to the organization.",Ambulance Contract,high
select_board_2025-07-18_seq-001,2025-07-18,select_board,governance_organizational,,proposal,discussed,"Restructuring of the Finance Department, adding an Assistant Town Accountant position and splitting the assistant Treasurer/Collector role into two specialized assistant positions, to address lack of succession planning and operational redundancy.","Discussed and supported at retreat as a major achievement; presented as part of organizational design, no formal vote recorded.","A major achievement highlighted during the retreat was the restructuring of the Finance Department to address longstanding issues, such as a lack of succession planning and operational redundancy. The new organizational design adds an Assistant Town Accountant position and proposes splitting the assistant Treasurer/Collector role into two specialized assistant positions, enabling internal advancement and long-term stability.",Select Board 2025 Retreat: Finance Department Restructuring,high
select_board_2025-07-18_seq-002,2025-07-18,select_board,structural_deficit_reserves,,proposal,discussed,"Commitment to timely free cash certification (targeted by January 2026, ahead of state March deadline) and completion of the annual independent audit, with efforts to close the books more efficiently.",Acknowledged by Board; Finance Director reported targets and process improvements underway.,"The Finance Director reported that free cash will be targeted for certification by January 2026 (well ahead of the state's March deadline), and efforts are underway to close the books more efficiently this year.",Select Board 2025 Retreat: Free Cash and Audit,high
select_board_2025-07-18_seq-003,2025-07-18,select_board,structural_deficit_reserves,,proposal,discussed,"Town Administrator confirmed both a level-funded budget and a Proposition 2½ override budget will be developed for FY27, with department heads submitting needs-based requests to inform decisions about what can be funded within existing revenues versus what may require additional voter support.",Confirmed as budget strategy approach for FY27.,"On budget strategy, the Town Administrator confirmed that both a level-funded and a Proposition 2½ override budget will be developed for FY27, reflecting a disciplined approach to budgeting under uncertain fiscal conditions.",Select Board 2025 Retreat: Budget Strategy,high
select_board_2025-07-18_seq-004,2025-07-18,select_board,override_prop25,,proposal,discussed,"Development of a Proposition 2½ override budget for FY27 alongside a level-funded budget, to identify what services may require additional voter support.",Confirmed as part of the FY27 budget development approach.,"On budget strategy, the Town Administrator confirmed that both a level-funded and a Proposition 2½ override budget will be developed for FY27, reflecting a disciplined approach to budgeting under uncertain fiscal conditions.",Select Board 2025 Retreat: Budget Strategy,high
select_board_2025-07-18_seq-005,2025-07-18,select_board,revenue_diversification,grant_funding_at_risk,proposal,discussed,"Tracking and publicly sharing a list of grants and expenditures at risk due to potential MBTA 3A zoning non-compliance, to enable transparency and contingency planning.",Staff committed to tracking and sharing the at-risk list.,The Board expressed concern that grants already awarded or in process could be revoked as a result of MBTA Zoning non-compliance. Staff has committed to tracking and publicly sharing a list of at-risk grants and expenditures to ensure transparency and enable contingency planning.,Select Board 2025 Retreat: MBTA 3A Zoning Compliance Risk,medium
select_board_2025-07-18_seq-006,2025-07-18,select_board,staffing_fte_bargaining,,proposal,discussed,CFO identified need for an additional IT support staff and a dedicated field assessor to reduce reliance on contractors and ensure timely property reviews.,"Board acknowledged need; documented for long-term planning, with immediate hiring potentially limited by budget constraints.","The CFO identified the need for an additional IT support staff and a dedicated field assessor to reduce reliance on contractors and ensure timely property reviews. The Board acknowledged that while budget constraints may limit immediate hiring, documenting these needs is important for long-term planning and public transparency.",Select Board 2025 Retreat: IT and Assessing Resource Gaps,medium
select_board_2025-07-18_seq-007,2025-07-18,select_board,capital_facilities_debt,,proposal,discussed,Reaffirmed commitment to structured capital planning as part of review of progress against prior year goals.,Reaffirmed by Board at retreat.,"Finally, the Board reviewed the progress made against previous year goals and reaffirmed its commitment to structured capital planning, enhanced interdepartmental collaboration, organizational risk identification, and ongoing employee development.",Select Board 2025 Retreat: Goals Review,low
select_board_2025-06-25_seq-001,2025-06-25,select_board,governance_organizational,,vote,discussed,"Merged the Fair Housing Committee and the Housing Production Plan Implementation Committee into a single Marblehead Housing Committee, with a defined membership structure including department heads, representatives from related boards, at-large members with staggered terms, and alternates.",Approved unanimously on roll call vote.,"After review and discussion, a motion was made to merge the Fair Housing Committee and Housing Production Plan Implementation Committee and establish it as the Marblehead Housing Committee, with the following members:",Housing Committees. Merger.,high
select_board_2025-06-25_seq-002,2025-06-25,select_board,staffing_fte_bargaining,,study,discussed,"Launched a comprehensive classification and compensation study, led by consultant Katie Yee from MGT, to review job descriptions, align positions, and analyze market data to determine appropriate compensation levels relative to comparable communities.",Study underway; reported as Town Administrator update.,Marblehead has launched a comprehensive classification and compensation study aimed at modernizing its employee classification system and ensuring the Town's salary structure remains competitive with comparable and neighboring communities.,Town Administrator Update — Salary Survey and Classification Study Launch,medium
select_board_2025-06-16_seq-001,2025-06-16,select_board,healthcare_gic,,vote,routine,"Year-end transfer of $1,025,000 from the Health Insurance appropriation line to cover shortfalls in other FY25 appropriations.","Approved unanimously on polled vote (5-0), subject to concurrence of the Finance Committee.","01-221-139     Health Insurance                   $1,057,547.00           $1,025,000.00",FY2025 Year End Transfers / Health Insurance,medium
select_board_2025-06-16_seq-002,2025-06-16,select_board,capital_facilities_debt,,vote,routine,"Year-end transfer of $27,224 to the Debt Service Short-term Interest line to cover a negative balance.","Approved unanimously on polled vote (5-0), subject to concurrence of the Finance Committee.","01-215-139      Debt Service Short-term Interest             -$27,223.11           $27,224.00",FY2025 Year End Transfers / Debt Service Short-term Interest,medium
select_board_2025-05-14_seq-001,2025-05-14,select_board,revenue_diversification,,vote,discussed,Adopted Home Rule Petition from Town Meeting Article 28 to establish a Means-Tested Senior Citizen Property Tax Exemption and submit it to the General Court.,Approved unanimously on polled vote (5-0).,"Motion that the Board adopt the Home Rule Petition as approved at May 7, 2025, Town Meeting, Article 28: Establish Means-Tested Senior Citizen Property Tax Exemption, and submit same to the General Court.",Home Rule Petition. Article 28. Means Tested Senior Citizen Property Tax Exemption,high
select_board_2025-05-14_seq-002,2025-05-14,select_board,revenue_diversification,,vote,discussed,Petitioned the General Court to amend Chapter 37 of the Acts of 2004 per Town Meeting Article 44 to increase parking ticket fines for snow emergencies.,Approved unanimously on polled vote (5-0).,"Motion made that the Select Board petition the General Court to amend Chapter 37 of the Acts of 2004 as voted at the May 8, 2025, Town Meeting, Article 44, Parking Tickets – Increased Fees for Snow Emergency.",Home Rule Petition. Article 44. Parking Ticket Fines,high
select_board_2025-05-14_seq-003,2025-05-14,select_board,governance_organizational,,working_group,discussed,"Received Town Charter Committee update; committee is drafting charter language (Draft A) with Collins Center and Town Counsel, planning three public forums in May, and aiming to present to Select Board and then Town Meeting May 2026.","Update received; public forums scheduled for May 27, 29, and 30; drafting to continue for 10 months.","The committee has been reviewing draft A of the charter language. The committee plans to continue fine-tuning the draft over the next 10 months, with the aim of presenting it to the Select Board for review. The Charter will then be presented to Town Meeting in May 2026 for review by the voters.",Town Charter Committee. Update,high
select_board_2025-05-06_seq-001,2025-05-06,select_board,capital_facilities_debt,,vote,discussed,"Select Board voted to place Question 1 on the June 10, 2025 Annual Town Election ballot seeking voter approval of a debt exclusion from Proposition 2½ for bonds to pay costs of design, construction, repair, renovation, furnishing, and equipping of the Mary A. Alley Building, including windows, elevators, HVAC systems, and a new roof.","Motion passed, all in favor; question to be placed on June 10, 2025 ballot.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of design, construction, repair, renovation, furnishing, and equipping of the Mary A. Alley Building, including windows, elevators and HVAC systems and acquiring and installing a new roof, including the payment of all other costs incidental and related thereto?",2025 Annual Town Election Warrant - Question 1 (Mary A. Alley Building debt exclusion),high
select_board_2025-05-06_seq-002,2025-05-06,select_board,capital_facilities_debt,,vote,discussed,"Select Board voted to place Question 2 on the June 10, 2025 Annual Town Election ballot seeking voter approval of a debt exclusion from Proposition 2½ for bonds to pay additional costs of a new roof at the Town's High School, including the acquisition and installation of new rooftop HVAC units.","Motion passed, all in favor; question to be placed on June 10, 2025 ballot.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay additional costs of a new roof at the Town's High School, including the acquisition and installation of new rooftop HVAC units, including the payment of all costs incidental and related thereto?",2025 Annual Town Election Warrant - Question 2 (High School roof/HVAC debt exclusion),high
select_board_2025-05-05_seq-001,2025-05-05,select_board,staffing_fte_bargaining,,vote,discussed,"Approved Memorandum of Understanding with Marblehead IUE/CWA Local 1776 for July 1, 2024 - June 30, 2027, with COLA increases of 2% (FY25), 3% (FY26), and 3% (FY27), subject to Town Meeting approval.",Approved unanimously.,"Motion made and seconded to approve the Memorandum of Understanding between the Town and the Marblehead IUE/CWA, Local 1776, for the period July 1, 2024 - June 30, 2027, as presented, and prepared by Town Counsel and to approve the following salary increases subject to Town Meeting approval:","MARBLEHEAD IUE/CWA, LOCAL 1776",high
select_board_2025-05-05_seq-002,2025-05-05,select_board,staffing_fte_bargaining,,vote,discussed,"Approved MOU with Firefighters IAFF Local 2043 for July 1, 2025 - June 30, 2026, with 3% COLA effective July 1, 2025, subject to Town Meeting approval.",Approved 4-0; Mr. Murray recused.,"Motion made to approve the Memorandum of Understanding between the Town of Marblehead and the International Association of Firefighters, AFL-CIO, CLC and Local 2043, for the period July 1, 2025 – June 30, 2026, as presented, and prepared by Town Counsel and approve the following salary increases subject to Town Meeting approval.","AFL-CIO, CLC and Local 2043. Firefighters",high
select_board_2025-05-05_seq-003,2025-05-05,select_board,staffing_fte_bargaining,,vote,discussed,"Approved Memorandum of Agreement with Marblehead Police Union (MASS C.O.P. Local 437) for July 1, 2024 - June 30, 2025, with 2% COLA effective July 1, 2024, subject to Town Meeting approval.",Approved 4-0; Mr. Murray recused.,"Motion made and seconded to approve the Memorandum of Agreement between the Town of Marblehead and the Marblehead Police Union, MASS C.O.P., AFL-CIO, Local 437, for the period July 1, 2024 – June 30, 2025, as presented and prepared by Town Counsel, and approve the following salary increases subject to Town Meeting approval:","MASS C.O.P., AFL-CIO, Local 437. Police (FY25)",high
select_board_2025-05-05_seq-004,2025-05-05,select_board,staffing_fte_bargaining,,vote,discussed,"Approved Memorandum of Agreement with Marblehead Police Union for July 1, 2025 - June 30, 2028, with COLA + POST Compliance increases of 2.5%+1.0% (FY26), 2%+1.5% (FY27), and 2%+1.5% (FY28), subject to Town Meeting approval.",Approved 4-0; Mr. Murray recused.,"Motion made and seconded to approve the Memorandum of Agreement between the Town of Marblehead and the Marblehead Police Union, MASS C.O.P., AFL-CIO, Local 437, for the period July 1, 2025 – June 30, 2028, as presented and prepared by Town Counsel, and approve the following salary increases subject to Town Meeting approval:","MASS C.O.P., AFL-CIO, Local 437. Police (FY26-FY28)",high
select_board_2025-05-05_seq-005,2025-05-05,select_board,staffing_fte_bargaining,,warrant_article,routine,"Supported Town Meeting Article 19, Collective Bargaining funding for Police Union, in the amount of $140,000.",Supported 4-0; Mr. Murray recused.,"Motion made and seconded to support Article 19, Collective Bargaining, Police Union, in the amount of $140,000.00. 4 voted in favor, Mr. Murray recused himself.",2025 TOWN MEETING ARTICLES / Article 19,high
select_board_2025-05-05_seq-006,2025-05-05,select_board,staffing_fte_bargaining,,warrant_article,routine,"Supported Town Meeting Article 20, Collective Bargaining funding for Marblehead IUE/CWA Local 1776, in the amount of $140,000.",Supported unanimously.,"Motion made and seconded to support Article 20, Collective Bargaining, Marblehead IUE/CWA, LOCAL 1776, in the amount of $140,000. All in favor.",2025 TOWN MEETING ARTICLES / Article 20,high
select_board_2025-05-05_seq-007,2025-05-05,select_board,staffing_fte_bargaining,,warrant_article,routine,"Supported Town Meeting Article 21, Collective Bargaining funding for Fire, in the amount of $150,000.",Supported 4-0; Mr. Murray recused.,"Motion made and seconded to support Article 21, Collective Bargaining, Fire, in the amount of $150,000. 4 voted in favor, Mr. Murray recused himself.",2025 TOWN MEETING ARTICLES / Article 21,high
