meeting_year,article_number,title,source_doc,source_location,extraction_method
2016,30,Amend Historic Districts Commission Special Act,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,31,Abandon Portion of Public Way,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,32,Sell Town Property,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,33,Purchase of Pumper Truck for Fire Department,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,34,Gerry School Feasibility Study,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2016,35,Expenses for Holiday Decorations,2016_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,1,Articles in Numerical Order,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,2,Reports of Town Officers and Committees,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,3,Assume Liability,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,4,Accept Trust Property,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,5,Lease Town Property,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,6,Contracts in Excess of Three Years,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,7,Amend Recreation and Parks Revolving Fund,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,8,Departmental Revolving Funds,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,9,Purchase and Planting of Trees,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,10,Purchase of Equipment of Several Departments,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,11,Capital Improvements for Public Buildings,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,12,Walls and Fences,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,13,Water Department Construction,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,14,Sewer Department Construction,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,15,Water and Sewer Commission Claims,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,16,Storm Drainage Construction,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,17,"Amend General Bylaw, Building Fees",2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,18,Amend Fee for Demand for Payment of Taxes,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,19,Indigenous Peoples’ Day,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,20,Essex North Shore Agricultural and Technical School District,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,21,Available Funds Appropri ate to Reduce Tax Rate,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,22,Unpaid Accounts,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,23,Transfer funds to the Special Education Stabilization Account,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,24,Medicaid Reimbursement Money,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,25,Expenses of Several Departments,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,26,"Zoning Bylaw Recodification, Technical Corrections",2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,27,Zoning Bylaw Amendment and Revisions – Definitions,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,28,Zoning Bylaw Amendment and Revisions,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,29,Zoning Bylaw Amendment and Revisions – Sheds,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,30,Zoning Bylaw Amendment to Classification of Retail,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,31,Zoning Bylaw Amendment and Revisions –Parking Space Dimensions,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,32,Marijuana Tax,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,33,Marijuana Retailers – General Bylaw,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,34,Amend General Bylaw License and Permits,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,35,"Amend General Bylaw, Stormwater",2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,36,"MWRA Local Water System Assistance Program, Interest Free Loan, Water",2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,37,Ban use of gas-powered Leaf Blowers,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,38,Annual Election of Town Officers,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,39,Extension of Elected Terms to Town Officials,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,40,Affordable Housing /Tax Title Foreclosures,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,41,Release Funds from Transportation Network,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,42,Financial Assistance for Conservation,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,43,Proposed Reclassification and Pay Schedule (Administrative),2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,44,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,45,Proposed Reclassification and Pay Schedule (Seasonal and Temporary,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,46,Compensation - Town Officers,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,47,Ratification of Salary Bylaw,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,48,Overnight Parking Ban,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,49,Sharing of Administrative Functions,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,50,Repairs to Fort Sewall,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,51,Construct a New School,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,52,Discontinue and Change of Use - Portion of Baldwin Road,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,53,Gerry School Reuse,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,54,Supplemental Appropriation for the Schools,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2019,55,Supplemental Expenses of Several Departments,2019_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,1,Articles in Numerical Order,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,2,Reports of Town Officers and Committees,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,3,Assume Liability,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,4,Accept Trust Property,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,5,Lease Town Property,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,6,Contracts in Excess of Three Years,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,7,Departmental Revolving Funds,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,8,Purchase of Equipment of Several Departments,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,9,Lease Purchase,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,10,Capital Improvements for Public Buildings,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,11,Walls and Fences,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,12,Water Department Construction,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,13,Sewer Department Construction,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,14,Water and Sewer Commission Claims,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,15,Storm Drainage Construction,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,16,Essex North Shore Agricultural and Technical School District,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,17,Available Funds Appropriate to Reduce Tax Rate,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,18,Unpaid Accounts,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,19,Transfer Funds to the Special Education Stabilization Account,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,20,Collective Bargaining (Fire),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,21,Collective Bargaining (Police),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,22,Collective Bargaining (IUE/CWA – Local 1776),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,23,Expenses of Several Departments,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,24,Financial Assistance for Conservation,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,25,Proposed Reclassification and Pay Schedule (Administrative),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,26,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,27,Proposed Reclassification and Pay Schedule (Seasonal and Temporary Personnel),2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,28,Compensation - Town Officers,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,29,Ratification of Salary Bylaw,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,30,Affordable Housing /Tax Title Foreclosures,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,31,Release Funds from Transportation Network To see if the Town will vote to appropriate or,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,32,Pumper Truck,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,33,Demolition by Neglect,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,34,Amend the Bylaws of the Old and Historic District Commission Chapter 110 Old and Historic,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,35,Abbot Public Library,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,36,Joseph Brown Conservation Area,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,37,Transparency & Accountability,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,38,Peace and Good Order,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,39,Board of Selectmen,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,40,Diversity,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,41,Common Sense Sidewalk Snow Removal Bylaw,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,42,3 Year Staggered Term for Selectmen,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,43,"MWRA Local Water System Assistance Program, Interest Free Loan, Water Distribution",2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,44,Compensation,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,45,Transfer of Property,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,46,"Amend General Bylaw, Stormwater",2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,47,Use of Gas Powered Leaf Blowers,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,48,Supplemental Appropriation for the Schools,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2021,49,Supplemental Expenses of Several Departments,2021_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,1,Articles in Numerical Order,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,2,Reports of Town Officers and Committees,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,3,Assume Liability,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,4,Accept Trust Property,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,5,Lease Town Property,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,6,Unpaid Accounts,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,7,Contracts in Excess of Three Years,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,8,Departmental Revolving Funds,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,9,Purchase of Equipment of Several Departments,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,10,Lease Purchase,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,11,Capital Improvements for Public Buildings,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,12,Walls and Fences,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,13,Storm Drainage Construction,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,14,Water Department Construction,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,15,Sewer Department Construction,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,16,Water and Sewer Commission Claims,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,17,Collective Bargaining (Fire),2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,18,Collective Bargaining (Police),2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,19,Collective Bargaining (IUE/CWA – Local 1776),2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,20,Proposed Reclassification and Pay Schedule (Administrative),2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,21,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,22,Proposed Reclassification and Pay Schedule (Seasonal and Temporary,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,23,Compensation - Town Officers,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,24,Ratification of Salary Bylaw,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
