date,item,counterparty,amount,vote
2016-01-26,Award Wilkins Substation noise abatement and pollution control project (Vote #2016-1),Peaker Services Inc.,"[$1,198,866.00 in vote text; bid reported as $1,198,886.00 - internal discrepancy in minutes]",Unanimous
2016-02-23,Award bid for removal of generator at 80 Commercial Street (Vote #2016-7),Byors & Sons,"$59,875.00",Unanimous
2016-02-23,"Initial investment to State Retirement Board Trust Fund, balance of MMLD's OPEB liability account (Vote #2016-6)",State Retirement Board Trust Fund,"$1,400,000.00",Unanimous
2016-04-26,Charge off accounts receivable per U.S. Bankruptcy Case #15-13762 (Vote #2016/20),customer account #22-40844,"$1,272.00",Unanimous
2016-07-26,Transfer from Depreciation Cash to Construction Cash as allowed by the DPU (Vote #2016-35),-,"$30,000.00",Unanimous
2016-09-14,Approve three year Collective Bargaining Agreement 07/01/2016-06/30/2019 (Vote #2016-46),IUE - CWA Local 81214,[no amount printed],Unanimous
2016-09-27,Payment to Peaker for 33% of the total contract (Vote #2016-50),Peaker Services Inc.,33% of the total contract,Unanimous
2016-12-28,"Accept GVW Inc. as low bid for the building renovation, subject to legal review (Vote #2016-60)",GVW Inc.,[no amount printed],Unanimous
2016-12-28,Charge off department's 2016 schedule of bad debts (Vote #2016-59),-,"$27,691.83",NotRecorded
2017-01-31,Reimbursement resolution: maximum principal of debt for 80 Commercial St building renovation via MMWEC Pooled Loan Program (Vote #2017-7),MMWEC,"$4,500,000.00",Unanimous
2017-03-28,Yearend 2016 cash: in lieu of tax payment (Vote #2017-19),City of Salem,"$5,000.00",Unanimous
2017-03-28,Yearend 2016 cash: net surplus revenue returned to Town (Vote #2017-19),Town of Marblehead,"$330,000.00",Unanimous
2017-03-28,Yearend 2016 cash: transfer to depreciation cash account (Vote #2017-19),-,"$1,187,000.00",Unanimous
2017-07-25,"Authorize Pooled Loan Program Loan Agreement and Promissory Note for building renovation (Votes #2017-34, #2017-35)",MMWEC,"[no dollar in vote; Jan 31 resolution capped at $4,500,000.00]",Unanimous
2017-07-25,"NREL proposal #1 (renewable/storage feasibility, $90,000) and #2 (emerging technologies, $25,000), subject to funding inquiries (Vote #2017-36)",NREL,"$90,000 and $25,000",Unanimous
2017-08-29,"Confirm transfer from MMWEC NEPEX Reserve Trust to Working Capital, raising working capital to $1,325,624.00 (Vote #2017-40)",MMWEC,"$206,092.00",Unanimous
2018-01-11,Charge off accounts receivable per U.S. Bankruptcy Case #17-11984 (Vote #2018-2),customer account #20-40923,"$2,387.19",NotRecorded
2018-01-11,Charge off department's 2017 schedule of bad debts (Vote #2018-1),-,"$47,463.68",NotRecorded
2018-03-27,Yearend 2017 cash: in lieu of tax payment (Vote #2018-14),City of Salem,"$5,000.00",All in favor
2018-03-27,Yearend 2017 cash: net surplus revenue returned to Town (Vote #2018-14),Town of Marblehead,"$330,000.00",All in favor
2018-03-27,Yearend 2017 cash: transfer to depreciation cash account (Vote #2018-14),-,"$552,000.00",All in favor
2018-04-04,"Contract with new General Manager Joseph Kowalik effective April 9, 2018, annual salary (Vote #2018-20)",Joseph Kowalik,"$160,000.00",All in favor
2018-04-04,"Extend GM Andy Hadden 6 months' contract extension effective April 9, 2018, annual salary (Vote #2018-21)",Andy Hadden,"$130,000.00",All in favor
2018-09-20,Fund Lead Mills Embankment repair and reconstruction; Town to seek FEMA/MEMA reimbursement (Vote #2018-37),Town of Marblehead,"$126,500.00",Unanimous
2018-09-27,"Contract for filing all required EPA, ISO and DEP reports for the coming year (GM report, no vote number)",Tighe and Bond,"not to exceed $19,000",NotRecorded
2018-11-27,"Purchase of 2020 Freightliner M2 106 4x2 with Terex Telelect SC 45-51ft bucket, Truck 34 replacement (Vote #2018-46)",Freightliner/Terex [dealer not named],"not to exceed $220,645",Unanimous
2018-12-18,Charge off department's 2018 schedule of bad debts (Vote #2018-50),-,"$19,003.59",Unanimous
2019-02-25,"MMWEC Pooled Loan Program refinancing; GM to execute note amendments (MMLD share of ~$27 million pool, 80 Commercial St project)",MMWEC,$4.5 million,Unanimous
2019-03-27,Yearend 2018 cash: In Lieu Of Tax payment,City of Salem,"$4,000.00",Unanimous
2019-03-27,Yearend 2018 cash: PILOT payment,Town of Marblehead,"$330,000.00",Unanimous
2019-12-18,Charge off department's 2019 schedule of bad debts,-,"$22,827.68",NotRecorded
2020-01-29,Transfer from 2019 Operating Surplus to Town Strategic Electrification account for 2019 Chevy Bolt EV (Building Department),Town of Marblehead,"$22,294",Unanimous
2020-03-05,Award Village 13 contract for one 15kV switchgear assembly (from depreciation cash fund),Eaton,"$1,174,787",Unanimous
2020-03-05,Award Village 13 contract for two 18/24/30 MVA 22.9-13.2kV power transformers (from depreciation cash fund),Virginia Transformer,"$891,754",Unanimous
2020-04-16,Yearend 2019 cash: PILOT payment,Town of Marblehead,"$330,000.00",NotRecorded
2020-05-28,Seed funding for Marblehead Neighbors Helping Neighbors hardship fund (Covid-19 bill assistance),North Shore Community Action Program (NSCAP),"$5,000.00",Unanimous
2021-01-26,Charge off department's 2020 schedule of bad debts,-,"$38,602.83",NotRecorded
2021-04-27,Yearend 2020 cash: PILOT payment,Town of Marblehead,"$330,000.00",NotRecorded
2021-08-03,"Purchase of 2022 Boston Freightliner Terex Telelect Bucket Truck, Truck 32 replacement",Boston Freightliner/Terex Telelect,"$274,100",Unanimous
2021-08-31,"Construction documents/administration for switchgear room building envelope repair at 80 Commercial St (remediation estimated $153,400 to $188,000)","Gorman, Richardson and Lewis Architects (GRLA)","$29,900 fee limit",Unanimous
2021-08-31,"Cost of service and rate design study ($26,900 base + $6,000 renewable rate classes + $9,000 time of use + $4,000 power cost adjustment + $4,000 public meetings)","Utility Financial Solutions, LLC (UFS)","$49,900.00",Unanimous
2022-01-04,Charge off 2021 bad debt schedule (closed accounts 11/01/2019-10/31/2020),-,"$45,378.27",All in favor
2022-03-29,"Expenditure for utility tree trimming services, competitive bid closed March 10, 2022",winning bidder (later Mayer Tree),"$250,000 - $300,000",Unanimous
2022-06-07,Signed tree contract reported: $250K pole-to-pole trimming + $50K dead tree removal,Mayer Tree,not to exceed $300K,"NotRecorded (GM-signed, reported not voted)"
2022-06-07,"Yearend 2021 cash: Pilot Payment to Town [vote numbered ""#2021-17"" as printed]",Town of Marblehead,"$330,000.00",Unanimous
2022-07-26,"Accept bid for new Village 13 switchgear, subject to satisfactory answers to bid questions",Myers Controlled Power,"$4,347,292",Unanimous
2022-09-08,"Performance bond on Village 13 switchgear construction (quote $49,191)",Myers Controlled Power LLC,"not to exceed $50,000",Unanimous
2022-12-19,Finalize contract for two 23kV-13kV transformers for Village 13,Virginia Transformer,"$2,632,446",Unanimous
2023-01-10,Charge off bad debts for 2021,-,"$79,821.23",Unanimous
2023-01-31,Engineering firm for upgrade of the Right of Way (Village 13 access),- (7 firms solicited),"not to exceed $90,000",Unanimous
2023-01-31,"Fund Low Income Household program, administered with NSCAP",NSCAP,"$50,000",Unanimous
2023-06-27,Engineering design for culvert protecting forced sewer main at Village 13,"Bayside Engineering Inc., Woburn MA","$25,500",Unanimous
2023-07-26,"80 Commercial St building envelope repairs (exterior walls, windows, gutters)",lowest-price qualified bidder,"not to exceed $240,000",Unanimous
2023-07-26,GIS technical support plus 3-year ESRI SaaS cloud mapping license,ESRI / GIS vendor,"not to exceed $25,000 + not to exceed $30,000/year for three years",Unanimous
2023-07-26,New fence and gate system at 80 Commercial Street,"lowest-price qualified bidder (Premier Fence bid $308,795)","net bid award not to exceed $380,000",Unanimous
2023-07-26,Replace end-of-design-life circuit-level meters at Commercial Substation,"United Power Group, Stoughton, Mass.","not to exceed $50,000",Unanimous
2023-09-05,Transfer of MMLD 2022 operating revenue surplus (PILOT) to the Town,Town of Marblehead,"$330,000",Unanimous
2023-10-24,"Annual budget for Commissioner legal advice, 2023",-,"$10,000","Three in favor, one abstention, one against"
2023-10-24,"Annual budget for Commissioner professional development, 2023",-,"$10,000",Unanimous
2023-10-24,Consulting on Village 13 eligibility for IRA/IIJA grants,Baker Tilly,"up to $30,000",Four in favor
2023-10-24,"Inspect and treat 2,000 MMLD-owned utility poles in 2024",Osmose Utility Services,"not to exceed $145,000",Unanimous
2023-10-24,Travel/insurance to send 2-person crew to Navajo Territory Utility Authority (2024),NTUA,"up to $15,000",Four in favor (Smith had left meeting)
2023-12-19,Write off balance due in inactive accounts (no activity 11/1/2021-10/31/2022),-,"$73,436.84",Unanimous
2023-12-19,"Year one of 3-year monitoring/remediation of Meter Data Fiber Backhaul System (incl. $5,000 onboarding)",Upnine,"$36,632",Unanimous
2024-02-27,Approve 2024 operating budget (Vote #2024-04),-,"[$20.24M per minutes; $21.240M ""Revenue Requirement"" incl. $330K town payment]",Unanimous
2024-03-26,PILOT payment to Town from MMLD 2023 Operating Income (Vote #2024-06),Town of Marblehead,"$330,000",Unanimous
2024-03-26,Transfer from Operating Cash to Rate Stabilization Fund (Vote #2024-07),-,$1.5 million,Unanimous
2024-10-01,Commit MMLD funding share of MassCEC 40101(d) grant project (Vote #2024-19),MassCEC / US DOE,"amount not stated (later $654,214)",Unanimous
2024-10-01,Repair 80 Commercial St roof and walls (Vote #2024-18),"Campbell Construction Group LLC, Peabody","$283,839 [slide elsewhere prints $283,829]",Unanimous
2024-12-17,Approve 2025 operating and maintenance budget (Vote #2024-34),-,"$21,681,000",Unanimous
2024-12-17,Grant match commitment in $1.98M MassCEC/US DOE Grid Resilience proposal (Vote #2024-33),MassCEC / US DOE,"$654,214",Unanimous
2024-12-17,"Village 13 upgrade site construction (Vote #2024-32; other bids $2.74M, $2.82M)","Fischbach & Moore, Boston MA","$2,719,860",Unanimous
2024-12-17,Write off inactive-account balances (Vote #2024-31),-,"$38,807.56",Unanimous
2025-04-15,"Amendment #3 to GM employment contract, retention through April 2026 (Vote #2025-05)",Joe Kowalik,amount not printed,"Frechette Yes, Hull No, Smith Yes, Yarmoff Yes (3-1)"
2025-04-29,"Village 13 change order, concrete below-grade land bridge (Vote #2025-10)",-,"not to exceed $200,000",Unanimous
2025-04-29,Voluntary Payment to Town from MMLD 2024 Operating Income (Vote #2025-11),Town of Marblehead,"$360,000",Unanimous
2025-07-22,"Salary raise for GM retroactive to April 8 2025, based on 2024 performance (Vote #2025-20)",Joe Kowalik,3%,"Frechette Yes, Harrington Abstain, Hull Yes, Smith Yes, Yarmoff Yes"
2025-07-28,Travel policy reimbursing out-of-state GM interview candidates (Vote 2025-23),-,economy flight and 1 night hotel,"All Yes, Smith not present"
2025-09-09,Amendment 4 to Kowalik contract: severance paid by or before January 16 2026 (Vote 2025-26),Joe Kowalik,timing only,Unanimous
2025-09-09,"Empower Chair/Vice-Chair to send Kowalik termination notice; triggers severance ""lump sum cash payment equal to six (6) months aggregate salary"" (Vote 2025-25)",Joe Kowalik,six months aggregate salary,"Frechette Yes, Harrington Yes, Hull No, Smith Yes, Yarmoff Yes"
2025-09-09,"Execute new GM employment contract, 5-year term eff. Sept 29 2025, base salary plus $5,000 vehicle allowance",Jonathan W. Blair,"$216,000.00/yr","Frechette, Harrington, Smith, Yarmoff signed; Hull refused to sign"
2025-12-16,"Adopt Policy on Voluntary PILOT: $3.60/MWh of prior-year sales, floor $360,000/yr (VOTE 2025-33)",Town of Marblehead,"$3.60/MWh, not less than $360,000",Unanimous roll call 5-0
2025-12-16,Write off outstanding debt from inactive accounts (VOTE 2025-32),-,"$93,447.81",Unanimous roll call 5-0
2026-03-31,"Voluntary Payment to Town of Marblehead for CY2025 (VOTE 2026-6, formula $3.60/MWh x 102,469 MWh sold)",Town of Marblehead,"$368,888","Yes: Frechette, Harrington, Smith, Yarmoff; No: Hull (4-1)"
